City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Saint-Philippe,RE,2022-01-31 23:18:15,-21.3585,55.7679,78.39,80,98,14.23
1,Alofi,NU,2022-01-31 23:15:29,-19.0595,-169.9187,78.69,83,75,9.22
2,Sunrise Manor,US,2022-01-31 23:18:16,36.2111,-115.0731,62.24,16,0,4.61
3,Nikolskoye,RU,2022-01-31 23:18:17,59.7035,30.7861,26.4,96,100,5.08
4,New Norfolk,AU,2022-01-31 23:18:17,-42.7826,147.0587,85.66,43,25,3.0
5,Fairbanks,US,2022-01-31 23:15:25,64.8378,-147.7164,-2.07,72,0,0.0
6,Bambous Virieux,MU,2022-01-31 23:18:18,-20.3428,57.7575,80.22,78,75,14.97
7,Butaritari,KI,2022-01-31 23:18:19,3.0707,172.7902,81.3,79,93,13.02
8,Sept-Iles,CA,2022-01-31 23:18:20,50.2001,-66.3821,7.05,59,20,4.0
9,Barrow,US,2022-01-31 23:16:31,71.2906,-156.7887,-12.98,77,20,10.36
10,Chokurdakh,RU,2022-01-31 23:18:20,70.6333,147.9167,-13.61,94,100,1.97
11,Ushtobe,KZ,2022-01-31 23:18:21,45.2514,77.9838,21.09,83,100,8.79
12,Gat,IL,2022-01-31 23:18:21,31.61,34.7642,52.39,100,59,9.35
13,Mataura,NZ,2022-01-31 23:18:22,-46.1927,168.8643,75.47,54,63,2.15
14,Dikson,RU,2022-01-31 23:18:22,73.5069,80.5464,-3.35,91,100,17.96
15,Kaitangata,NZ,2022-01-31 23:18:23,-46.2817,169.8464,70.93,73,59,4.65
16,Punta Arenas,CL,2022-01-31 23:18:23,-53.15,-70.9167,46.51,81,40,24.16
17,Port Lincoln,AU,2022-01-31 23:18:24,-34.7333,135.8667,64.02,71,66,21.32
18,General Pico,AR,2022-01-31 23:18:24,-35.6566,-63.7568,69.71,48,68,8.3
19,Pathein,MM,2022-01-31 23:18:25,16.7833,94.7333,61.79,72,84,3.53
20,Albany,US,2022-01-31 23:17:22,42.6001,-73.9662,22.57,62,7,1.39
21,Chuy,UY,2022-01-31 23:18:26,-33.6971,-53.4616,65.08,61,31,11.52
22,Atuona,PF,2022-01-31 23:18:26,-9.8,-139.0333,78.51,75,16,19.19
23,Zaragoza,ES,2022-01-31 23:18:27,41.6561,-0.8773,49.01,67,20,18.01
24,Hermanus,ZA,2022-01-31 23:18:27,-34.4187,19.2345,73.9,85,12,8.61
25,Tiksi,RU,2022-01-31 23:18:28,71.6872,128.8694,-10.75,99,100,6.67
26,Lavrentiya,RU,2022-01-31 23:13:45,65.5833,-171.0,-0.42,83,56,11.65
27,Mar Del Plata,AR,2022-01-31 23:17:08,-38.0023,-57.5575,64.42,57,0,3.0
28,Ewa Beach,US,2022-01-31 23:18:29,21.3156,-158.0072,80.6,57,0,10.0
29,Busselton,AU,2022-01-31 23:18:29,-33.65,115.3333,62.04,59,20,15.5
30,La Crosse,US,2022-01-31 23:18:18,43.8014,-91.2396,32.56,65,40,7.0
31,San Juan,AR,2022-01-31 23:17:25,-31.5375,-68.5364,88.14,21,0,3.85
32,Puerto Ayora,EC,2022-01-31 23:16:47,-0.7393,-90.3518,74.55,92,63,3.0
33,Kodiak,US,2022-01-31 23:18:31,57.79,-152.4072,29.71,74,100,5.75
34,Coquimbo,CL,2022-01-31 23:16:21,-29.9533,-71.3436,65.93,77,40,10.36
35,Jinchang,CN,2022-01-31 23:18:31,38.4953,102.1739,17.55,37,100,1.72
36,Lodja,CD,2022-01-31 23:18:32,-3.4833,23.4333,69.51,98,100,2.91
37,Salamiyah,SY,2022-01-31 23:18:32,35.0113,37.0532,41.86,87,51,2.91
