City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,San Juan,AR,-31.5375,-68.5364,85.51,39,34,18.14,scattered clouds
1,Georgetown,MY,5.4112,100.3354,80.89,84,20,4.61,few clouds
2,Launceston,AU,-41.45,147.1667,51.8,74,40,3,scattered clouds
3,Mataura,NZ,-46.1927,168.8643,56.48,98,100,4.99,overcast clouds
4,Mount Isa,AU,-20.7333,139.5,80.37,74,75,5.75,moderate rain
5,Qostanay,KZ,53.1667,63.5833,20.23,96,99,7.85,overcast clouds
6,Maniitsoq,GL,65.4167,-52.9,2.23,85,98,16.98,overcast clouds
7,Kaitangata,NZ,-46.2817,169.8464,58.42,97,100,8.93,moderate rain
8,Luanda,AO,-8.8368,13.2343,77,83,20,11.5,few clouds
9,Sabha,LY,27.0377,14.4283,50.76,29,7,10.69,clear sky
10,Phangnga,TH,8.4509,98.5298,86.92,82,59,1.7,broken clouds
11,Galesong,ID,-5.3166,119.3661,75.22,81,80,5.35,broken clouds
12,Albany,US,42.6001,-73.9662,44.55,72,96,4,overcast clouds
13,Punta Arenas,CL,-53.15,-70.9167,48.31,87,75,8.05,light rain
14,Atuona,PF,-9.8,-139.0333,77.67,79,88,15.48,light rain
15,Anadyr,RU,64.75,177.4833,4.87,63,0,15.12,clear sky
16,Vanavara,RU,60.34,102.2797,-13.43,100,82,2.73,broken clouds
17,Upernavik,GL,72.7868,-56.1549,-3.96,68,100,6.64,overcast clouds
18,Rikitea,PF,-23.1203,-134.9692,77.22,75,47,5.86,scattered clouds
19,Yellowknife,CA,62.456,-114.3525,-30.71,82,20,2.3,mist
20,Bethel,US,41.3712,-73.414,44.89,82,100,4.61,overcast clouds
21,Puerto Ayora,EC,-0.7393,-90.3518,82.36,73,44,10.42,scattered clouds
22,Nikolskoye,RU,59.7035,30.7861,22.89,99,99,1.34,overcast clouds
23,Vila Velha,BR,-20.3297,-40.2925,80.55,81,75,5.75,broken clouds
24,Ushuaia,AR,-54.8,-68.3,49.62,65,75,29.93,broken clouds
25,Kruisfontein,ZA,-34.0033,24.7314,70.88,95,100,4.61,moderate rain
26,Bluff,NZ,-46.6,168.3333,56.8,81,100,15.66,overcast clouds
